tier,conditions,entry_model,target_model,mbp_overlay,trades,winrate,profit_factor,net_points,avg_trade
B,green_bar,5pt_pullback,25pt_target,positive_quote_pressure,15,0.5333,1.429,60.0,4.0
B,green_bar,15pt_pullback,25pt_target,positive_quote_pressure,15,0.5333,1.429,60.0,4.0
B,green_bar,5pt_pullback,25pt_target,positive_quote_pressure,15,0.5333,1.429,60.0,4.0
B,large_premarket & green_bar,5pt_pullback,25pt_target,positive_quote_pressure,15,0.5333,1.429,60.0,4.0
B,green_bar,15pt_pullback,20pt_target,positive_quote_pressure,15,0.5333,1.143,20.0,1.33
B,CORE_ONLY,10pt_pullback,20pt_target,positive_mid_pressure,15,0.5333,1.143,20.0,1.33
B,large_premarket & green_bar,15pt_pullback,20pt_target,positive_quote_pressure,15,0.5333,1.143,20.0,1.33
B,large_premarket,10pt_pullback,20pt_target,positive_mid_pressure,15,0.5333,1.143,20.0,1.33
B,green_bar,15pt_pullback,20pt_target,positive_quote_pressure,15,0.5333,1.143,20.0,1.33
B,large_premarket,10pt_pullback,20pt_target,positive_mid_pressure,15,0.5333,1.143,20.0,1.33
B,large_premarket,10pt_pullback,20pt_target,positive_mid_pressure,15,0.5333,1.143,20.0,1.33
B,green_bar,15pt_pullback,20pt_target,positive_mid_pressure,15,0.5333,1.143,20.0,1.33
B,large_premarket,10pt_pullback,20pt_target,positive_mid_pressure,15,0.5333,1.143,20.0,1.33
B,CORE_ONLY,10pt_pullback,20pt_target,positive_mid_pressure,15,0.5333,1.143,20.0,1.33
B,CORE_ONLY,10pt_pullback,20pt_target,positive_mid_pressure,15,0.5333,1.143,20.0,1.33
B,large_premarket & green_bar,15pt_pullback,20pt_target,positive_mid_pressure,15,0.5333,1.143,20.0,1.33
B,green_bar,15pt_pullback,20pt_target,positive_mid_pressure,15,0.5333,1.143,20.0,1.33
B,green_bar,15pt_pullback,20pt_target,positive_mid_pressure,15,0.5333,1.143,20.0,1.33
B,large_premarket & green_bar,15pt_pullback,20pt_target,positive_mid_pressure,15,0.5333,1.143,20.0,1.33
B,green_bar,15pt_pullback,20pt_target,positive_quote_pressure,15,0.5333,1.143,20.0,1.33
B,large_premarket & green_bar,15pt_pullback,20pt_target,positive_quote_pressure,15,0.5333,1.143,20.0,1.33
B,green_bar,15pt_pullback,20pt_target,positive_mid_pressure,15,0.5333,1.143,20.0,1.33
B,large_premarket & green_bar,15pt_pullback,20pt_target,positive_mid_pressure,15,0.5333,1.143,20.0,1.33
B,large_premarket & green_bar,15pt_pullback,20pt_target,positive_quote_pressure,15,0.5333,1.143,20.0,1.33
B,CORE_ONLY,10pt_pullback,20pt_target,positive_mid_pressure,15,0.5333,1.143,20.0,1.33
B,green_bar,15pt_pullback,20pt_target,positive_quote_pressure,15,0.5333,1.143,20.0,1.33
B,large_premarket & green_bar,15pt_pullback,20pt_target,positive_quote_pressure,15,0.5333,1.143,20.0,1.33
B,large_premarket & green_bar,15pt_pullback,20pt_target,positive_mid_pressure,15,0.5333,1.143,20.0,1.33
B,green_bar,15pt_pullback,20pt_target,positive_quote_pressure,15,0.5333,1.143,20.0,1.33
B,green_bar,15pt_pullback,20pt_target,positive_mid_pressure,15,0.5333,1.143,20.0,1.33
