conditions,trades,expectancy_score,robustness_score,win_10,win_20,win_30,win_40,avg_15m,avg_30m,avg_60m,med_30m,std_30m
small_or & expansion_bar & high_rel_vol & high_volatility,31,0.09806451612903226,1.5483870967741935,0.3225806451612903,0.25806451612903225,0.1935483870967742,0.1935483870967742,-10.846774193548388,1.2258064516129032,-0.3387096774193548,10.5,48.8618952950861
small_or & expansion_bar & tight_spread & high_rel_vol & high_volatility,31,0.09806451612903226,1.5483870967741935,0.3225806451612903,0.25806451612903225,0.1935483870967742,0.1935483870967742,-10.846774193548388,1.2258064516129032,-0.3387096774193548,10.5,48.8618952950861
back_inside_or & large_lower_wick & expansion_bar,194,0.07996134020618556,27.845360824742265,0.4690721649484536,0.37628865979381443,0.38144329896907214,0.4020618556701031,4.056701030927835,0.1095360824742268,12.9909793814433,7.75,123.57886680379075
green_bar & strong_body & expansion_bar & high_rel_vol & high_volatility,72,0.07909722222222222,15.583333333333332,0.5138888888888888,0.4722222222222222,0.4583333333333333,0.3333333333333333,9.864583333333334,0.2326388888888889,-34.06597222222222,19.125,157.94527559148636
green_bar & large_lower_wick & tight_spread & high_rel_vol & high_volatility,45,0.078,6.8,0.4888888888888889,0.4,0.37777777777777777,0.3333333333333333,-7.0055555555555555,0.43333333333333335,5.261111111111111,4.75,131.84367249615252
below_vwap & large_or & red_bar & expansion_bar & high_rel_vol,38,0.0769736842105263,8.526315789473683,0.5263157894736842,0.47368421052631576,0.47368421052631576,0.3684210526315789,-1.736842105263158,0.4276315789473684,15.486842105263158,16.375,185.3311035203665
back_inside_or & above_or_high,43,0.07325581395348837,4.604651162790698,0.4418604651162791,0.4186046511627907,0.2558139534883721,0.20930232558139536,9.80232558139535,0.4069767441860465,-21.00581395348837,3.25,106.32845875231288
above_or_high & green_bar,40,0.07012499999999999,4.675000000000001,0.45,0.425,0.275,0.2,6.10625,0.4125,-23.6,3.875,110.26027700807502
back_inside_or & above_or_high & green_bar,40,0.07012499999999999,4.675000000000001,0.45,0.425,0.275,0.2,6.10625,0.4125,-23.6,3.875,110.26027700807502
above_vwap & strong_body & displacement & tight_spread & high_rel_vol,43,0.0688953488372093,5.5813953488372094,0.3953488372093023,0.3488372093023256,0.37209302325581395,0.27906976744186046,-13.674418604651162,0.45930232558139533,-19.546511627906977,1.0,91.48806079784008
below_vwap & green_bar & strong_body & expansion_bar & high_volatility,75,0.06666666666666665,17.066666666666666,0.6,0.5333333333333333,0.4266666666666667,0.37333333333333335,24.35333333333333,0.16666666666666666,-15.576666666666666,11.5,152.71857029094963
below_vwap & small_or & expansion_bar & high_volatility,35,0.0595,1.6,0.3142857142857143,0.2,0.22857142857142856,0.17142857142857143,-8.75,0.85,-0.6285714285714286,3.0,52.399911596243335
below_vwap & small_or & expansion_bar & tight_spread & high_volatility,35,0.0595,1.6,0.3142857142857143,0.2,0.22857142857142856,0.17142857142857143,-8.75,0.85,-0.6285714285714286,3.0,52.399911596243335
large_lower_wick & high_volatility,236,0.052404661016949156,38.22457627118644,0.4745762711864407,0.4110169491525424,0.3940677966101695,0.3728813559322034,-3.1832627118644066,0.05402542372881356,13.452330508474576,4.625,132.07592511266128
below_vwap & back_inside_or & red_bar & high_rel_vol & high_volatility,42,0.05142857142857142,8.571428571428571,0.47619047619047616,0.42857142857142855,0.47619047619047616,0.40476190476190477,-7.196428571428571,0.2857142857142857,11.797619047619047,22.375,167.8913118532904
large_or & displacement & tight_spread & high_volatility,48,0.036458333333333336,13.020833333333336,0.5416666666666666,0.5208333333333334,0.5208333333333334,0.3958333333333333,0.359375,0.14583333333333334,-26.661458333333332,47.375,186.23410851334097
back_inside_or & large_or & displacement & tight_spread & high_volatility,48,0.036458333333333336,13.020833333333336,0.5416666666666666,0.5208333333333334,0.5208333333333334,0.3958333333333333,0.359375,0.14583333333333334,-26.661458333333332,47.375,186.23410851334097
large_or & expansion_bar & displacement & tight_spread & high_volatility,48,0.036458333333333336,13.020833333333336,0.5416666666666666,0.5208333333333334,0.5208333333333334,0.3958333333333333,0.359375,0.14583333333333334,-26.661458333333332,47.375,186.23410851334097
below_vwap & green_bar & large_lower_wick & expansion_bar & tight_spread,70,0.03285714285714285,7.557142857142858,0.42857142857142855,0.32857142857142857,0.32857142857142857,0.37142857142857144,-4.392857142857143,0.14285714285714285,8.896428571428572,4.0,115.51805627282585
below_vwap & back_inside_or & small_or & high_rel_vol,31,0.02838709677419355,0.7741935483870968,0.3870967741935484,0.12903225806451613,0.1935483870967742,0.1935483870967742,-6.758064516129032,0.7096774193548387,-10.225806451612904,13.25,39.43243677345433
