model,trade_date,entry_time,direction,pnl_points,rolling_50_net,rolling_50_wr
PROD_STACK_STRICT,2021-03-18,2021-03-18 11:03:00,SHORT,-20.0,276.75,0.64
PROD_STACK_STRICT,2021-03-22,2021-03-22 09:45:00,LONG,20.0,304.25,0.66
PROD_STACK_STRICT,2021-03-23,2021-03-23 09:06:00,LONG,20.0,304.25,0.66
PROD_STACK_STRICT,2021-03-26,2021-03-26 09:17:00,SHORT,20.0,304.25,0.66
PROD_STACK_STRICT,2021-03-30,2021-03-30 09:49:00,LONG,-20.0,264.25,0.64
PROD_STACK_STRICT,2021-04-05,2021-04-05 09:33:00,LONG,20.0,264.25,0.64
PROD_STACK_STRICT,2021-04-06,2021-04-06 09:11:00,LONG,20.0,264.25,0.64
PROD_STACK_STRICT,2021-04-07,2021-04-07 10:24:00,SHORT,20.0,304.25,0.66
PROD_STACK_STRICT,2021-04-08,2021-04-08 09:16:00,SHORT,-20.0,264.25,0.64
PROD_STACK_STRICT,2021-04-14,2021-04-14 10:21:00,SHORT,20.0,304.25,0.66
PROD_STACK_STRICT,2021-04-15,2021-04-15 09:04:00,LONG,-20.0,304.25,0.66
PROD_STACK_STRICT,2021-04-19,2021-04-19 10:27:00,SHORT,20.0,318.75,0.66
PROD_STACK_STRICT,2021-04-27,2021-04-27 10:53:00,LONG,0.25,339.0,0.68
PROD_STACK_STRICT,2021-04-28,2021-04-28 09:51:00,SHORT,20.0,339.0,0.68
PROD_STACK_STRICT,2021-04-29,2021-04-29 09:56:00,SHORT,20.0,339.0,0.68
PROD_STACK_STRICT,2021-04-30,2021-04-30 09:37:00,SHORT,-20.0,299.0,0.66
PROD_STACK_STRICT,2021-05-04,2021-05-04 09:06:00,SHORT,20.0,299.0,0.66
PROD_STACK_STRICT,2021-05-05,2021-05-05 09:53:00,LONG,-20.0,259.0,0.64
PROD_STACK_STRICT,2021-05-12,2021-05-12 09:51:00,SHORT,20.0,259.0,0.64
PROD_STACK_STRICT,2021-05-17,2021-05-17 09:12:00,SHORT,-20.0,259.0,0.64
PROD_STACK_STRICT,2021-05-18,2021-05-18 11:27:00,SHORT,-0.75,238.25,0.62
PROD_STACK_STRICT,2021-05-19,2021-05-19 09:10:00,LONG,20.0,256.25,0.62
PROD_STACK_STRICT,2021-05-21,2021-05-21 09:50:00,SHORT,20.0,296.25,0.64
PROD_STACK_STRICT,2021-05-24,2021-05-24 11:28:00,LONG,5.25,281.5,0.64
PROD_STACK_STRICT,2021-05-25,2021-05-25 09:46:00,SHORT,20.0,281.5,0.64
PROD_STACK_STRICT,2021-05-26,2021-05-26 09:32:00,SHORT,-20.0,241.5,0.62
PROD_STACK_STRICT,2021-06-04,2021-06-04 09:29:00,LONG,2.75,224.25,0.62
PROD_STACK_STRICT,2021-06-07,2021-06-07 10:29:00,LONG,-1.5,202.75,0.6
PROD_STACK_STRICT,2021-06-08,2021-06-08 09:16:00,SHORT,20.0,242.75,0.62
PROD_STACK_STRICT,2021-06-15,2021-06-15 09:54:00,SHORT,20.0,247.25,0.62
PROD_STACK_STRICT,2021-06-16,2021-06-16 09:08:00,SHORT,20.0,247.25,0.62
