date,entry_time,entry,stop,target,exit_price,outcome,risk_points,pnl_points,rr,mfe,mae
2025-10-16,2025-10-16 10:20:00,24912.25,24934.75,24867.25,24934.75,loss,22.5,-22.5,-1.0,17.25,-30.5
2025-10-28,2025-10-28 08:46:00,26011.0,26025.25,25982.5,26025.25,loss,14.25,-14.25,-1.0,1.0,-26.75
2025-10-29,2025-10-29 08:50:00,26261.0,26275.75,26231.5,26275.75,loss,14.75,-14.75,-1.0,17.5,-21.25
2025-10-29,2025-10-29 08:51:00,26252.75,26276.25,26205.75,26276.25,loss,23.5,-23.5,-1.0,1.75,-29.5
2025-10-29,2025-10-29 09:04:00,26260.0,26276.0,26228.0,26276.0,loss,16.0,-16.0,-1.0,22.0,-16.75
2025-10-29,2025-10-29 09:11:00,26243.25,26263.0,26203.75,26263.0,loss,19.75,-19.75,-1.0,5.25,-23.5
2025-10-29,2025-10-29 09:28:00,26259.5,26268.5,26241.5,26241.5,win,9.0,18.0,2.0,20.25,-4.0
2025-10-29,2025-10-29 09:30:00,26253.25,26261.75,26236.25,26236.25,win,8.5,17.0,2.0,18.5,-5.75
2025-10-29,2025-10-29 09:32:00,26246.75,26254.5,26231.25,26231.25,win,7.75,15.5,2.0,17.25,-6.75
2025-10-29,2025-10-29 09:34:00,26240.0,26247.75,26224.5,26247.75,loss,7.75,-7.75,-1.0,5.25,-8.75
2025-10-29,2025-10-29 09:38:00,26230.5,26244.75,26202.0,26244.75,loss,14.25,-14.25,-1.0,0.75,-15.25
2025-10-29,2025-10-29 09:48:00,26227.75,26243.25,26196.75,26243.25,loss,15.5,-15.5,-1.0,9.25,-20.75
2025-10-29,2025-10-29 09:51:00,26233.25,26250.25,26199.25,26250.25,loss,17.0,-17.0,-1.0,30.0,-21.5
2025-10-29,2025-10-29 09:57:00,26230.0,26246.0,26198.0,26246.0,loss,16.0,-16.0,-1.0,26.75,-18.25
2025-10-29,2025-10-29 10:05:00,26214.25,26230.75,26181.25,26230.75,loss,16.5,-16.5,-1.0,6.25,-16.75
2025-10-29,2025-10-29 10:10:00,26213.5,26232.0,26176.5,26232.0,loss,18.5,-18.5,-1.0,10.25,-18.75
2025-10-29,2025-10-29 10:49:00,26247.75,26262.25,26218.75,26262.25,loss,14.5,-14.5,-1.0,7.25,-14.5
2025-11-03,2025-11-03 09:01:00,26115.0,26145.0,26055.0,26145.0,loss,30.0,-30.0,-1.0,26.75,-31.25
2025-11-03,2025-11-03 09:05:00,26111.0,26132.25,26068.5,26132.25,loss,21.25,-21.25,-1.0,22.75,-24.0
2025-11-03,2025-11-03 09:06:00,26094.5,26118.0,26047.5,26118.0,loss,23.5,-23.5,-1.0,6.25,-32.25
2025-11-03,2025-11-03 09:16:00,26109.25,26129.0,26069.75,26069.75,win,19.75,39.5,2.0,39.75,-4.75
2025-11-03,2025-11-03 09:17:00,26085.0,26112.25,26030.5,26112.25,loss,27.25,-27.25,-1.0,2.75,-29.0
2025-11-03,2025-11-03 09:21:00,26087.5,26113.0,26036.5,26036.5,win,25.5,51.0,2.0,54.5,-23.0
2025-11-03,2025-11-03 11:01:00,26096.75,26121.5,26047.25,26121.5,loss,24.75,-24.75,-1.0,13.5,-29.0
2025-11-04,2025-11-04 10:33:00,25763.5,25779.5,25731.5,25779.5,loss,16.0,-16.0,-1.0,11.5,-18.75
2025-11-04,2025-11-04 10:41:00,25758.5,25789.25,25697.0,25789.25,loss,30.75,-30.75,-1.0,2.75,-37.0
2025-11-04,2025-11-04 10:45:00,25773.0,25797.5,25724.0,25724.0,win,24.5,49.0,2.0,49.75,-7.75
2025-11-04,2025-11-04 10:57:00,25730.0,25768.25,25653.5,25653.5,win,38.25,76.5,2.0,87.75,-27.75
2025-11-04,2025-11-04 11:01:00,25736.5,25758.75,25692.0,25692.0,win,22.25,44.5,2.0,46.5,-5.0
2025-11-10,2025-11-10 09:52:00,25551.25,25581.5,25490.75,25490.75,win,30.25,60.5,2.0,80.25,-9.25
2025-11-10,2025-11-10 09:56:00,25539.75,25558.25,25502.75,25502.75,win,18.5,37.0,2.0,46.75,-8.25
2025-11-10,2025-11-10 10:00:00,25523.75,25540.25,25490.75,25490.75,win,16.5,33.0,2.0,52.75,-1.5
2025-11-10,2025-11-10 10:01:00,25502.25,25526.25,25454.25,25526.25,loss,24.0,-24.0,-1.0,31.25,-27.25
2025-11-10,2025-11-10 10:06:00,25489.5,25506.75,25455.0,25506.75,loss,17.25,-17.25,-1.0,7.75,-24.5
2025-11-10,2025-11-10 10:22:00,25495.25,25519.0,25447.75,25519.0,loss,23.75,-23.75,-1.0,43.25,-29.0
2025-11-10,2025-11-10 10:23:00,25481.5,25508.25,25428.0,25508.25,loss,26.75,-26.75,-1.0,0.0,-29.5
2025-11-10,2025-11-10 10:35:00,25496.25,25518.25,25452.25,25452.25,win,22.0,44.0,2.0,44.25,-6.5
2025-11-10,2025-11-10 10:44:00,25462.5,25487.25,25413.0,25487.25,loss,24.75,-24.75,-1.0,0.75,-28.0
2025-11-11,2025-11-11 08:35:00,25617.25,25633.25,25585.25,25633.25,loss,16.0,-16.0,-1.0,8.5,-28.75
2025-11-11,2025-11-11 08:38:00,25612.0,25647.0,25542.0,25542.0,win,35.0,70.0,2.0,76.0,-21.5
2025-11-11,2025-11-11 09:07:00,25548.25,25596.0,25452.75,25596.0,loss,47.75,-47.75,-1.0,3.0,-49.25
2025-11-12,2025-11-12 08:31:00,25735.75,25781.75,25643.75,25643.75,win,46.0,92.0,2.0,93.0,-2.25
2025-11-12,2025-11-12 08:32:00,25702.5,25739.0,25629.5,25629.5,win,36.5,73.0,2.0,109.5,-10.75
2025-11-12,2025-11-12 08:35:00,25678.5,25706.0,25623.5,25623.5,win,27.5,55.0,2.0,85.5,-26.5
2025-11-17,2025-11-17 09:05:00,25118.5,25152.75,25050.0,25152.75,loss,34.25,-34.25,-1.0,10.0,-40.5
2025-11-17,2025-11-17 09:08:00,25116.0,25153.25,25041.5,25153.25,loss,37.25,-37.25,-1.0,62.25,-42.0
2025-11-17,2025-11-17 09:09:00,25084.25,25118.25,25016.25,25118.25,loss,34.0,-34.0,-1.0,23.5,-55.25
2025-11-17,2025-11-17 09:18:00,25096.0,25134.5,25019.0,25134.5,loss,38.5,-38.5,-1.0,42.25,-45.75
2025-11-17,2025-11-17 09:33:00,25087.5,25139.5,24983.5,25139.5,loss,52.0,-52.0,-1.0,29.25,-53.0
2025-11-17,2025-11-17 09:50:00,25108.0,25142.5,25039.0,25039.0,win,34.5,69.0,2.0,78.5,-13.75
2025-11-17,2025-11-17 09:51:00,25088.75,25120.75,25024.75,25120.75,loss,32.0,-32.0,-1.0,11.25,-33.0
2025-11-17,2025-11-17 09:57:00,25080.5,25109.5,25022.5,25022.5,win,29.0,58.0,2.0,70.75,-16.75
2025-11-18,2025-11-18 08:35:00,24743.75,24803.75,24623.75,24623.75,win,60.0,120.0,2.0,120.25,-42.75
2025-11-18,2025-11-18 08:47:00,24669.75,24731.75,24545.75,24545.75,win,62.0,124.0,2.0,126.75,-11.0
2025-11-19,2025-11-19 10:25:00,24686.0,24719.0,24620.0,24719.0,loss,33.0,-33.0,-1.0,27.25,-39.0
2025-11-19,2025-11-19 10:36:00,24679.0,24706.75,24623.5,24706.75,loss,27.75,-27.75,-1.0,30.25,-28.25
2025-11-20,2025-11-20 09:55:00,25193.25,25224.0,25131.75,25131.75,win,30.75,61.5,2.0,76.25,-12.75
2025-11-20,2025-11-20 09:56:00,25178.0,25196.25,25141.5,25196.25,loss,18.25,-18.25,-1.0,12.75,-28.0
2025-11-20,2025-11-20 09:59:00,25173.25,25198.25,25123.25,25123.25,win,25.0,50.0,2.0,56.25,-4.75
2025-11-20,2025-11-20 10:01:00,25129.5,25165.75,25057.0,25057.0,win,36.25,72.5,2.0,81.0,-8.5
2025-11-20,2025-11-20 10:16:00,24981.75,25013.0,24919.25,24919.25,win,31.25,62.5,2.0,62.5,-8.5
2025-11-20,2025-11-20 10:19:00,24941.75,24991.0,24843.25,24843.25,win,49.25,98.5,2.0,108.5,-35.25
2025-11-20,2025-11-20 10:23:00,24907.25,24950.25,24821.25,24950.25,loss,43.0,-43.0,-1.0,21.0,-68.25
2025-11-21,2025-11-21 08:46:00,24146.0,24211.5,24015.0,24211.5,loss,65.5,-65.5,-1.0,44.5,-78.0
2025-11-26,2025-11-26 08:59:00,25186.5,25222.75,25114.0,25222.75,loss,36.25,-36.25,-1.0,52.75,-38.75
2025-11-26,2025-11-26 09:00:00,25167.0,25187.75,25125.5,25187.75,loss,20.75,-20.75,-1.0,33.25,-27.75
2025-11-26,2025-11-26 09:01:00,25149.5,25171.5,25105.5,25171.5,loss,22.0,-22.0,-1.0,4.5,-45.25
2025-11-26,2025-11-26 09:06:00,25155.25,25179.25,25107.25,25179.25,loss,24.0,-24.0,-1.0,5.0,-28.5
2025-11-27,2025-11-27 08:35:00,25311.0,25318.0,25297.0,25297.0,win,7.0,14.0,2.0,18.25,-2.0
2025-11-27,2025-11-27 08:37:00,25299.25,25311.75,25274.25,25293.75,win,12.5,5.5,0.44,13.5,-8.0
2025-11-27,2025-11-27 08:41:00,25289.0,25297.75,25271.5,25297.75,loss,8.75,-8.75,-1.0,0.25,-10.25
2025-11-28,2025-11-28 08:41:00,25352.75,25384.75,25288.75,25384.75,loss,32.0,-32.0,-1.0,21.75,-34.5
2025-11-28,2025-11-28 08:45:00,25357.75,25378.25,25316.75,25378.25,loss,20.5,-20.5,-1.0,15.0,-29.5
2025-11-28,2025-11-28 08:53:00,25371.25,25391.25,25331.25,25391.25,loss,20.0,-20.0,-1.0,19.0,-23.0
2025-11-28,2025-11-28 09:05:00,25365.5,25378.0,25340.5,25378.0,loss,12.5,-12.5,-1.0,13.25,-15.75
2025-11-28,2025-11-28 09:27:00,25371.0,25383.0,25347.0,25383.0,loss,12.0,-12.0,-1.0,11.75,-21.0
2025-11-28,2025-11-28 10:27:00,25380.75,25397.5,25347.25,25397.5,loss,16.75,-16.75,-1.0,13.25,-22.25
2025-11-28,2025-11-28 10:28:00,25372.25,25385.5,25345.75,25385.5,loss,13.25,-13.25,-1.0,2.5,-20.0
2025-11-28,2025-11-28 10:31:00,25380.75,25392.75,25356.75,25392.75,loss,12.0,-12.0,-1.0,0.5,-15.25
2025-12-01,2025-12-01 08:40:00,25260.25,25307.25,25166.25,25307.25,loss,47.0,-47.0,-1.0,51.0,-55.75
2025-12-01,2025-12-01 08:44:00,25216.75,25250.25,25149.75,25250.25,loss,33.5,-33.5,-1.0,7.5,-62.0
2025-12-01,2025-12-01 09:35:00,25288.0,25310.0,25244.0,25310.0,loss,22.0,-22.0,-1.0,20.5,-45.0
2025-12-02,2025-12-02 10:14:00,25534.5,25557.75,25488.0,25488.0,win,23.25,46.5,2.0,50.25,-19.25
2025-12-02,2025-12-02 10:22:00,25512.75,25544.0,25450.25,25450.25,win,31.25,62.5,2.0,66.5,0.0
2025-12-02,2025-12-02 10:24:00,25478.25,25500.5,25433.75,25433.75,win,22.25,44.5,2.0,58.0,-6.0
2025-12-02,2025-12-02 10:32:00,25422.25,25453.5,25359.75,25453.5,loss,31.25,-31.25,-1.0,7.75,-34.5
2025-12-02,2025-12-02 10:45:00,25488.5,25509.75,25446.0,25509.75,loss,21.25,-21.25,-1.0,6.0,-22.25
2025-12-02,2025-12-02 10:49:00,25490.0,25511.75,25446.5,25511.75,loss,21.75,-21.75,-1.0,12.25,-27.5
2025-12-02,2025-12-02 10:58:00,25509.75,25527.25,25474.75,25527.25,loss,17.5,-17.5,-1.0,7.75,-24.75
2025-12-04,2025-12-04 08:32:00,25647.75,25679.5,25584.25,25584.25,win,31.75,63.5,2.0,87.75,-20.0
2025-12-04,2025-12-04 08:34:00,25618.75,25668.75,25518.75,25550.25,win,50.0,68.5,1.37,98.25,-24.0
2025-12-04,2025-12-04 08:35:00,25567.5,25620.25,25462.0,25620.25,loss,52.75,-52.75,-1.0,16.75,-69.5
2025-12-05,2025-12-05 09:57:00,25725.5,25752.0,25672.5,25752.0,loss,26.5,-26.5,-1.0,9.25,-41.5
2025-12-05,2025-12-05 10:08:00,25731.75,25754.0,25687.25,25687.25,win,22.25,44.5,2.0,45.75,-11.5
2025-12-05,2025-12-05 10:15:00,25706.5,25736.25,25647.0,25736.25,loss,29.75,-29.75,-1.0,23.25,-30.25
