candidate_number,take_trade,skip_reason,fvg_ts,entry_ts,direction,symbol,gap_low,gap_high,gap_mid,gap_width,entry_price,stop_price,risk_points
137,true,"",2026-04-23T04:00:00.000000,2026-04-23T07:49:00.000000,bear,NQM6,27013.5,27066.0,27039.75,52.5,27013.5,27066.0,52.5
138,true,"",2026-04-24T12:00:00.000000,2026-04-24T13:56:00.000000,bull,NQM6,27114.75,27130.25,27122.5,15.5,27130.25,27114.75,15.5
139,true,"",2026-04-28T08:00:00.000000,2026-04-28T08:29:00.000000,bear,NQM6,27360.0,27386.0,27373.0,26.0,27360.0,27386.0,26.0
140,true,"",2026-04-28T12:00:00.000000,2026-04-28T13:49:00.000000,bear,NQM6,27252.0,27320.0,27286.0,68.0,27252.0,27320.0,68.0
141,true,"",2026-04-30T00:00:00.000000,2026-04-30T02:31:00.000000,bull,NQM6,27340.25,27386.5,27363.375,46.25,27386.5,27340.25,46.25
142,true,"",2026-04-30T20:00:00.000000,2026-04-30T22:57:00.000000,bull,NQM6,27550.0,27556.25,27553.125,6.25,27556.25,27550.0,6.25
143,true,"",2026-05-01T16:00:00.000000,2026-05-01T18:46:00.000000,bull,NQM6,27597.75,27794.75,27696.25,197.0,27794.75,27597.75,197.0
144,true,"",2026-05-05T04:00:00.000000,2026-05-05T06:24:00.000000,bull,NQM6,27789.5,27818.25,27803.875,28.75,27818.25,27789.5,28.75
146,true,"",2026-05-05T12:00:00.000000,2026-05-05T12:02:00.000000,bull,NQM6,27926.75,27928.5,27927.625,1.75,27928.5,27926.75,1.75
147,true,"",2026-05-05T16:00:00.000000,2026-05-05T16:28:00.000000,bull,NQM6,27959.0,28090.25,28024.625,131.25,28090.25,27959.0,131.25
148,true,"",2026-05-06T00:00:00.000000,2026-05-06T00:29:00.000000,bull,NQM6,28188.25,28248.0,28218.125,59.75,28248.0,28188.25,59.75
149,true,"",2026-05-06T20:00:00.000000,2026-05-06T22:00:00.000000,bull,NQM6,28586.75,28650.0,28618.375,63.25,28650.0,28586.75,63.25
104,false,no_touch,2026-03-31T16:00:00.000000,,bull,NQM6,23398.0,23435.75,23416.875,37.75,,,
111,false,no_touch,2026-04-07T20:00:00.000000,,bull,NQM6,24308.0,24345.75,24326.875,37.75,,,
124,false,no_touch,2026-04-14T16:00:00.000000,,bull,NQM6,25698.0,25872.0,25785.0,174.0,,,
145,false,no_touch,2026-05-05T08:00:00.000000,,bull,NQM6,27848.5,27879.5,27864.0,31.0,,,
