direction,trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,avg_risk,avg_mfe,avg_mae,median_mfe,median_mae,max_dd_r_1R,max_dd_r_1_5R,max_dd_r_2R,audit_group,fib,hour,risk_bucket,orb_range_bucket,body_pct_bucket,rel_vol_bucket,vwap_dist_bucket,liq_sweep_bucket,vwap_aligned,directional_displacement,directional_recent_fvg,directional_v_reversal
,920,57.93,46.09,36.2,0.159,0.152,0.086,1.377,1.282,1.135,18.71,40.1,-18.34,19.83,-15.94,-25.0,-38.5,-67.0,directional_v_reversal,,,,,,,,,,,,true
,824,52.06,43.08,36.17,0.041,0.077,0.085,1.086,1.135,1.133,24.29,45.28,-24.47,27.07,-23.88,-25.0,-33.5,-47.0,vwap_dist_bucket,,,,,,,far_below,,,,,
long,775,50.45,37.42,28.0,0.009,-0.065,-0.16,1.018,0.897,0.778,21.63,30.34,-20.44,18.83,-18.41,-25.0,-70.5,-128.0,direction_fib,0.382,,,,,,,,,,,
long,352,51.14,40.91,32.95,0.023,0.023,-0.011,1.047,1.038,0.983,15.36,30.03,-17.52,13.28,-14.3,-26.0,-25.0,-25.0,direction_fib_vwap,0.618,,,,,,,,true,,,
,1043,51.1,39.69,29.24,0.022,-0.008,-0.123,1.045,0.987,0.827,17.13,27.05,-16.64,13.46,-14.0,-27.0,-59.0,-169.0,vwap_dist_bucket,,,,,,,above,,,,,
,351,49.0,38.46,29.06,-0.02,-0.038,-0.128,0.961,0.938,0.819,17.73,28.17,-18.05,15.25,-15.6,-27.0,-28.5,-48.0,rel_vol_bucket,,,,,,low,,,,,,
short,398,47.49,35.93,30.9,-0.05,-0.102,-0.073,0.904,0.841,0.895,9.0,20.12,-10.2,7.09,-9.89,-29.0,-53.0,-44.0,direction_fib_risk,0.618,,<=15,,,,,,,,,
short,194,45.36,39.18,31.96,-0.093,-0.021,-0.041,0.83,0.966,0.939,14.13,25.41,-14.55,9.89,-12.19,-29.0,-25.0,-31.0,direction_fib_vwap_dist,0.618,,,,,,above,,,,,
long,206,44.17,35.44,27.18,-0.117,-0.114,-0.184,0.791,0.823,0.747,21.84,28.12,-21.08,14.7,-19.99,-29.0,-28.5,-46.0,direction_fib_rel_vol,0.382,,,,,high,,,,,,
short,353,49.01,42.21,34.28,-0.02,0.055,0.028,0.961,1.096,1.043,20.81,39.51,-20.29,20.88,-17.62,-30.0,-29.5,-30.0,direction_fib_vwap,0.5,,,,,,,,true,,,
short,367,48.5,36.78,27.52,-0.03,-0.08,-0.174,0.942,0.873,0.759,21.84,35.2,-20.19,18.78,-17.91,-30.0,-51.0,-82.0,direction_fib_liq,0.382,,,,,,,2+,,,,
long,254,45.28,38.98,30.71,-0.094,-0.026,-0.079,0.827,0.958,0.886,15.24,27.73,-17.55,11.84,-15.13,-30.0,-19.0,-32.0,direction_fib_liq,0.618,,,,,,,1,,,,
short,286,47.9,36.36,28.67,-0.042,-0.091,-0.14,0.919,0.857,0.804,20.8,33.6,-19.47,17.28,-18.17,-31.0,-44.5,-61.0,direction_fib_liq,0.382,,,,,,,1,,,,
long,381,47.77,39.37,31.5,-0.045,-0.016,-0.055,0.915,0.974,0.92,17.42,31.5,-19.63,13.69,-16.85,-31.0,-22.0,-41.0,direction_fib_vwap,0.618,,,,,,,,false,,,
