signal_time,entry_time,trade_date,year,month,hour,minute,side,entry_price,stop_price,target_price,risk_points,result_points,result_rr,exit_reason,bars_held,fill_bars,mfe_points,mae_points,signal_high,signal_low,signal_close,range_expansion,rel_volume
2025-08-07T09:15:00.000000,2025-08-07T09:16:00.000000,2025-08-07,2025,2025-08,9,16,short,23522.38,23531.0,23505.12,8.62,-8.62,-1.0,stop_same_bar,1,1,18.38,-12.62,23529.0,23502.5,23505.75,1.5809,1.2071
2025-08-20T08:46:00.000000,2025-08-20T08:47:00.000000,2025-08-20,2025,2025-08,8,47,short,23074.44,23087.0,23049.31,12.56,-12.56,-1.0,stop,2,1,23.69,-12.56,23085.0,23042.75,23051.0,1.9812,1.4296
2025-09-03T10:40:00.000000,2025-09-03T10:41:00.000000,2025-09-03,2025,2025-09,10,41,short,23415.56,23424.0,23398.69,8.44,16.88,2.0,target,1,1,17.81,-0.44,23422.0,23396.25,23397.5,2.3303,5.1267
2025-11-04T10:40:00.000000,2025-11-04T10:41:00.000000,2025-11-04,2025,2025-11,10,41,short,25780.38,25790.25,25760.62,9.88,19.75,2.0,target,1,1,24.62,-1.12,25788.25,25756.75,25758.5,1.9921,1.3118
2025-11-06T08:41:00.000000,2025-11-06T08:42:00.000000,2025-11-06,2025,2025-11,8,42,short,25613.56,25624.75,25591.19,11.19,22.38,2.0,target,1,1,22.81,-0.69,25622.75,25586.0,25597.75,1.6136,1.9882
2025-11-12T09:36:00.000000,2025-11-12T09:37:00.000000,2025-11-12,2025,2025-11,9,37,short,25563.75,25577.5,25536.25,13.75,27.5,2.0,target,1,1,28.75,-4.75,25575.5,25528.5,25536.5,2.2955,2.9286
2025-11-17T08:30:00.000000,2025-11-17T08:31:00.000000,2025-11-17,2025,2025-11,8,31,short,24988.56,25001.75,24962.19,13.19,-13.19,-1.0,stop,1,1,26.06,-27.69,24999.75,24955.0,24968.5,3.2108,7.512
2025-11-20T08:33:00.000000,2025-11-20T08:34:00.000000,2025-11-20,2025,2025-11,8,34,short,25186.12,25199.75,25158.88,13.62,-13.62,-1.0,stop,1,1,20.88,-18.88,25197.75,25151.25,25163.0,2.0328,1.9734
2025-11-20T10:38:00.000000,2025-11-20T10:39:00.000000,2025-11-20,2025,2025-11,10,39,short,24813.5,24831.5,24777.5,18.0,36.0,2.0,target,2,1,56.75,-11.75,24829.5,24765.5,24781.75,1.5357,1.305
2025-12-04T08:34:00.000000,2025-12-04T08:35:00.000000,2025-12-04,2025,2025-12,8,35,short,25604.44,25621.25,25570.81,16.81,33.62,2.0,target,1,1,53.69,-9.81,25619.25,25560.0,25566.5,3.4649,4.3888
2025-12-05T09:56:00.000000,2025-12-05T09:57:00.000000,2025-12-05,2025,2025-12,9,57,short,25743.38,25752.5,25725.12,9.12,18.25,2.0,target,1,1,27.12,-7.62,25750.5,25722.0,25725.25,1.5531,2.2574
